"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R36,R19";"Resistor_Horizontal_RM7mm";2;"100";;;
2;"C14,C15";"C_Disc_D3_P2.5";2;"C";;;
3;"R9,R4,R5,R8,R17,R18,R20,R21,R22,R23,R24,R26,R28";"Resistor_Horizontal_RM7mm";13;"10k";;;
4;"U3";"SSOP-28_5.3x10.2mm_Pitch0.65mm";1;"FT232RL";;;
5;"D1,D6";"LED-5MM";2;"LED";;;
6;"RV2,RV3";"Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp";2;"10k";;;
7;"R12,R13,R14";"Resistor_Horizontal_RM20mm";3;"0.1";;;
8;"C1,C2";"C_Radial_D5_L11_P2.5";2;"100uF 50v";;;
9;"C3,C5,C6,C9,C10,C11,C13";"C_Disc_D3_P2.5";7;"100n";;;
10;"C4,C12";"C_Radial_D5_L11_P2.5";2;"10uF";;;
11;"C16,C17";"C_Radial_D18_L36_P7.5";2;"2200uFx35V";;;
12;"D7,D8";"Diode_DO-35_SOD27_Horizontal_RM10";2;"1N4148";;;
13;"DS1";"Pin_Header_Straight_1x16";1;"LCD16X2";;;
14;"F1,F2";"Fuseholder5x20_horiz_open_universal_Type-III";2;"FUSE";;;
15;"IC1";"DIP-28_W7.62mm_LongPads";1;"ATMEGA8-P";;;
16;"L1";"Choke_Horizontal_RM10mm";1;"INDUCTOR";;;
17;"P1";"bornier2";1;"Entrada_alimentacion";;;
18;"P4";"Pin_Header_Straight_2x03";1;"Conector_Prog";;;
19;"P5";"Pin_Header_Straight_1x04";1;"Conector_Serial";;;
20;"P6";"Pin_Header_Straight_2x02";1;"CONN_02X02";;;
21;"P7";"USB_B";1;"USB_B";;;
22;"P8";"Pin_Header_Straight_1x01";1;"CONN_01X01";;;
23;"P301";"Pin_Header_Straight_2x04";1;"Botones";;;
24;"Q2,Q4";"TO-220_Neutral123_Vertical";2;"TIP127";;;
25;"Q201,Q202";"TO-92_Inline_Wide";2;"2N2222";;;
26;"Q203,Q204";"TO-220_Neutral123_Vertical";2;"IRFZ46N";;;
27;"R3,R6,R25";"Resistor_Horizontal_RM7mm";3;"1k";;;
28;"R7,R30,R37";"Resistor_Horizontal_RM7mm";3;"330";;;
29;"R10,R11,R15,R16,R35";"Resistor_Horizontal_RM7mm";5;"470";;;
30;"R27";"Resistor_Horizontal_RM7mm";1;"4.7k";;;
31;"R29";"Resistor_Horizontal_RM7mm";1;"270";;;
32;"RV1";"Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp";1;"POT";;;
33;"SP1";"Buzzer_12x9.5RM7.6";1;"BUZZER";;;
34;"U2";"DIP-8_W7.62mm_LongPads";1;"LM358";;;
35;"Y1";"Crystal_HC50-U_Vertical";1;"8MHz";;;
36;"Y2";"Crystal_HC50-U_Vertical";1;"Cristal 12MHz";;;
37;"U1";"TO-220_Neutral123_Vertical";1;"LM7805";;;
38;"R1,R2";"Resistor_Ceramic_Horizontal_L19mm-W8mm-H8mm-p25mm";2;"10";;;
39;"C7,C8";"C_Disc_D3_P2.5";2;"22p";;;
40;"Q7";"TO-92_Inline_Wide";1;"BC548";;;
41;"P2";"PINHEAD1-2";1;"SALIDA_1";;;
42;"P201";"PINHEAD1-2";1;"SALIDA_2";;;
43;"P302";"Pin_Header_Straight_2x04";1;"Puente_botones";;;
44;"P19,P16,P17,P18";"MountingHole_3.2mm_M3";4;"CONN_01X01";;;
